,Game,Player,Salary,Passing Yards,Passing TDs,TD Over Juice,INTs,INTs Over Juice,ExpectedTdPasses,ExpectedInts,PredictedPropsBasedScore,$/DKPoint,Team,PassYards,PassTDs,PassINTs,RushYards,RushTDs,Recs,RecYards,RecTDs,ESPNProj,$/ESPNPoint
52,TB @ ARI,Rondale Moore,4400,,,,,,,,,,,,,,,,,,,,
53,WAS @ SF,Curtis Samuel,4400,,,,,,,,,,,,,,,,,,,,
54,LAC @ IND,Parris Campbell,4400,,,,,,,,,,,,,,,,,,,,
55,SEA @ KC,Kadarius Toney,4400,,,,,,,,,,,,,,,,,,,,
56,SEA @ KC,Marquise Goodwin,4300,,,,,,,,,,Sea,0,0,0,1,0,3,41,0,9.0,477.77777777777777
57,SEA @ KC,Marquez Valdes-Scantling,4300,,,,,,,,,,,,,,,,,,,,
58,GB @ MIA,Randall Cobb,4200,,,,,,,,,,,,,,,,,,,,
59,DET @ CAR,DJ Chark Jr.,4200,,,,,,,,,,,,,,,,,,,,
60,PHI @ DAL,Michael Gallup,4200,,,,,,,,,,,,,,,,,,,,
61,DEN @ LAR,Van Jefferson,4100,,,,,,,,,,,,,,,,,,,,
62,ATL @ BAL,Devin Duvernay,4100,,,,,,,,,,,,,,,,,,,,
63,NYG @ MIN,Isaiah Hodgins,4100,,,,,,,,,,NYG,0,0,0,0,0,4,44,0,8.9,460.67415730337075
64,HOU @ TEN,Robert Woods,4000,,,,,,,,,,,,,,,,,,,,
65,ATL @ BAL,Demarcus Robinson,4000,,,,,,,,,,Bal,0,0,0,0,0,4,47,0,10.0,400.0
66,JAC @ NYJ,Corey Davis,4000,,,,,,,,,,NYJ,0,0,0,0,0,3,46,0,8.9,449.438202247191
67,BUF @ CHI,Isaiah McKenzie,4000,,,,,,,,,,,,,,,,,,,,
68,DEN @ LAR,Ben Skowronek,4000,,,,,,,,,,,,,,,,,,,,
69,WAS @ SF,Jahan Dotson,3900,,,,,,,,,,Was,0,0,0,1,0,3,42,0,8.9,438.2022471910112
70,TB @ ARI,Julio Jones,3900,,,,,,,,,,,,,,,,,,,,
71,NYG @ MIN,Richie James Jr.,3900,,,,,,,,,,,,,,,,,,,,
72,DET @ CAR,Josh Reynolds,3800,,,,,,,,,,,,,,,,,,,,
73,LV @ PIT,Hunter Renfrow,3800,,,,,,,,,,,,,,,,,,,,
74,DEN @ LAR,Kendall Hinton,3800,,,,,,,,,,,,,,,,,,,,
75,HOU @ TEN,Nick Westbrook-Ikhine,3800,,,,,,,,,,,,,,,,,,,,
76,SEA @ KC,Mecole Hardman,3800,,,,,,,,,,,,,,,,,,,,
77,LAC @ IND,Alec Pierce,3700,,,,,,,,,,,,,,,,,,,,
78,JAC @ NYJ,Elijah Moore,3700,,,,,,,,,,,,,,,,,,,,
79,DET @ CAR,Jameson Williams,3700,,,,,,,,,,,,,,,,,,,,
80,BUF @ CHI,Cole Beasley,3700,,,,,,,,,,,,,,,,,,,,
81,CIN @ NE,DeVante Parker,3700,,,,,,,,,,,,,,,,,,,,
82,TB @ ARI,Russell Gage,3700,,,,,,,,,,,,,,,,,,,,
83,WAS @ SF,Jauan Jennings,3700,,,,,,,,,,,,,,,,,,,,
84,DEN @ LAR,Tutu Atwell,3600,,,,,,,,,,LAR,0,0,0,10,0,3,44,0,9.6,375.0
85,DET @ CAR,Terrace Marshall Jr.,3600,,,,,,,,,,,,,,,,,,,,
86,NO @ CLE,Jarvis Landry,3600,,,,,,,,,,,,,,,,,,,,
87,PHI @ DAL,Noah Brown,3600,,,,,,,,,,,,,,,,,,,,
88,BUF @ CHI,Equanimeous St. Brown,3600,,,,,,,,,,,,,,,,,,,,
89,PHI @ DAL,Quez Watkins,3600,,,,,,,,,,,,,,,,,,,,
90,LAC @ IND,DeAndre Carter,3500,,,,,,,,,,,,,,,,,,,,
91,NO @ CLE,Rashid Shaheed,3500,,,,,,,,,,,,,,,,,,,,
92,DEN @ LAR,K.J. Hamler,3500,,,,,,,,,,,,,,,,,,,,
93,JAC @ NYJ,Marvin Jones Jr.,3400,,,,,,,,,,,,,,,,,,,,
94,GB @ MIA,Sammy Watkins,3400,,,,,,,,,,,,,,,,,,,,
95,WAS @ SF,Ray-Ray McCloud,3400,,,,,,,,,,,,,,,,,,,,
